,Datetime,Temperature,Flow
232,2019-08-03 10:15:00,13.4,3.163017853
233,2019-08-03 10:30:00,13.5,3.163017853
234,2019-08-03 10:45:00,13.5,3.188121399
235,2019-08-03 11:00:00,13.6,3.188121399
236,2019-08-03 11:15:00,13.7,3.188121399
237,2019-08-03 11:30:00,13.8,3.188121399
238,2019-08-03 11:45:00,14.0,3.188121399
239,2019-08-03 12:00:00,14.1,3.188121399
240,2019-08-03 12:15:00,14.3,3.188121399
241,2019-08-03 12:30:00,14.4,3.188121399
242,2019-08-03 12:45:00,14.6,3.188121399
243,2019-08-03 13:00:00,14.8,3.188121399
244,2019-08-03 13:15:00,15.0,3.163017853
245,2019-08-03 13:30:00,15.2,3.163017853
246,2019-08-03 13:45:00,15.4,3.163017853
247,2019-08-03 14:00:00,15.6,3.163017853
248,2019-08-03 14:15:00,15.8,3.188121399
249,2019-08-03 14:30:00,16.0,3.163017853
250,2019-08-03 14:45:00,16.2,3.188121399
251,2019-08-03 15:00:00,16.4,3.188121399
252,2019-08-03 15:15:00,16.6,3.188121399
253,2019-08-03 15:30:00,16.7,3.188121399
254,2019-08-03 15:45:00,16.9,3.163017853
255,2019-08-03 16:00:00,17.0,3.163017853
256,2019-08-03 16:15:00,17.1,3.163017853
257,2019-08-03 16:30:00,17.2,3.163017853
258,2019-08-03 16:45:00,17.3,3.163017853
259,2019-08-03 17:00:00,17.4,3.163017853
260,2019-08-03 17:15:00,17.4,3.163017853
261,2019-08-03 17:30:00,17.4,3.188121399
262,2019-08-03 17:45:00,17.4,3.188121399
263,2019-08-03 18:00:00,17.3,3.163017853
264,2019-08-03 18:15:00,17.3,3.163017853
265,2019-08-03 18:30:00,17.2,3.163017853
266,2019-08-03 18:45:00,17.1,3.163017853
267,2019-08-03 19:00:00,17.0,3.163017853
268,2019-08-03 19:15:00,16.9,3.163017853
269,2019-08-03 19:30:00,16.8,3.163017853
270,2019-08-03 19:45:00,16.7,3.163017853
271,2019-08-03 20:00:00,16.6,3.163017853
272,2019-08-03 20:15:00,16.5,3.163017853
273,2019-08-03 20:30:00,16.4,3.163017853
274,2019-08-03 20:45:00,16.3,3.163017853
275,2019-08-03 21:00:00,16.2,3.163017853
276,2019-08-03 21:15:00,16.1,3.163017853
277,2019-08-03 21:30:00,16.0,3.163017853
278,2019-08-03 21:45:00,15.9,3.163017853
279,2019-08-03 22:00:00,15.9,3.163017853
280,2019-08-03 22:15:00,15.8,3.163017853
281,2019-08-03 22:30:00,15.8,3.163017853
282,2019-08-03 22:45:00,15.7,3.163017853
283,2019-08-03 23:00:00,15.7,3.188121399
284,2019-08-03 23:15:00,15.6,3.188121399
285,2019-08-03 23:30:00,15.6,3.188121399
286,2019-08-03 23:45:00,15.5,3.188121399
287,2019-08-04 00:00:00,15.5,3.188121399
